testing loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.008187136612832546,0.008183426223695278,0.008182578720152378,0.008182256482541561,0.008182100020349026
testing loss, non-robust, decision-focused, 0.008181818760931492,0.037049733102321625,0.06456739455461502,0.06634413450956345,0.06644514948129654,0.06648077815771103,0.06649595499038696
testing loss, robust, two-stage, 0.0,0.05314287543296814,6.7733840296568815e-06,1.942459221027093e-06,9.272082479583332e-07,5.389731541072251e-07,3.495709393064317e-07
testing loss, robust, decision-focused, 0.0,0.051371749490499496,0.08935591578483582,0.10414845496416092,0.10419665277004242,0.10532854497432709,0.10440683364868164
training loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.0173332153315035,0.008562161839411905,0.00827113917718331,0.008218778887142737,0.008201408048626036,0.008193692987939963,0.00818964393887048,0.008187276838968197,0.008185784530360252,0.008184790048593035
training loss, non-robust, decision-focused, 0.008181818760931492,0.038927361369132996,0.03897754192973177,0.044543226202949884,0.058261635868499674,0.07171463326861462,0.0771259161333243,0.08109917078788081,0.08185523509358367,0.08032117091740171,0.08329193154349923,0.08340132366865874
training loss, robust, two-stage, 0.0,0.052362821996212006,0.01868239229370374,0.0007269810093324243,0.00014224302661508165,5.147605317385266e-05,2.21561171808086e-05,1.2242682582079093e-05,7.68888925601156e-06,5.213114796257893e-06,3.720328791700922e-06,2.754323896662451e-06
training loss, robust, decision-focused, 0.0,0.05264071375131607,0.04505521001604696,0.03428914812393487,0.02720599469418327,0.024570641348448892,0.023971634133098028,0.013331092084990814,0.005615025719938179,0.005859500742129361,0.005917704194628944,0.005969578683531532
testing loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.009086624719202518,0.008330621756613255,0.008234469220042229,0.008207524195313454,0.00819664727896452,0.008191275410354137,0.008188263513147831,0.008186421357095242,0.008185222744941711,0.00818440318107605
testing loss, non-robust, decision-focused, 0.008181818760931492,0.038927361369132996,0.04062453657388687,0.05035329982638359,0.06628696620464325,0.07595539093017578,0.07865263521671295,0.08125971257686615,0.08040199428796768,0.08143346011638641,0.08372731506824493,0.08736102283000946
testing loss, robust, two-stage, 0.0,0.052362821996212006,0.0019149098079651594,0.0002462558331899345,8.107893518172204e-05,3.1007923098513857e-05,1.5777613953105174e-05,9.458903150516562e-06,6.223788659553975e-06,4.349393748270813e-06,3.1705708352092188e-06,2.384475692451815e-06
testing loss, robust, decision-focused, 0.0,0.05264071375131607,0.03845909237861633,0.0305433738976717,0.025977108627557755,0.02411312609910965,0.022343572229146957,0.005206758622080088,0.0054620904847979546,0.005898738279938698,0.005720724351704121,0.0058137401938438416
training loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.009239841803597907,0.008184752512412767,0.008182926770920555,0.008182396739721298,0.00818217033908392
training loss, non-robust, decision-focused, 0.008181818760931492,0.037049733102321625,0.06533113724241654,0.06748925289139152,0.06655795313417912,0.06650332845747471,0.06652154081190625
training loss, robust, two-stage, 0.0,0.05314287543296814,0.0022942414036928463,3.5877242993365145e-06,1.3438819578937e-06,7.081761213593533e-07,4.3518931616877886e-07
training loss, robust, decision-focused, 0.0,0.051371749490499496,0.019023102366675933,0.008436120099698503,0.008616026199888438,0.008594515015526364,0.009225902004012217
testing loss, non-robust, two-stage, 0.008181818760931492,0.03720617666840553,0.008187136612832546,0.008183426223695278,0.008182578720152378,0.008182256482541561,0.008182100020349026
testing loss, non-robust, decision-focused, 0.008181818760931492,0.037049733102321625,0.06854158639907837,0.06739019602537155,0.06660615652799606,0.06651937961578369,0.066509909927845
testing loss, robust, two-stage, 0.0,0.05314287543296814,6.7733840296568815e-06,1.942459221027093e-06,9.272082479583332e-07,5.389731541072251e-07,3.495709393064317e-07
testing loss, robust, decision-focused, 0.0,0.051371749490499496,0.009400267153978348,0.009439852088689804,0.008792425505816936,0.009347580373287201,0.010819729417562485
